Lbl,Asset Bundle,Asset Type,Default
Adult_Glasses,adult-moxie,MoxieCustomization,True
Adult_Hair,adult-moxie,MoxieCustomization,True
Adult_colorMap,adult-moxie,MoxieCustomization,True
Angry_breaths_Icon,animal-breathing,Icon,True
Animal_breaths_Icon,animal-breathing,Icon,True
Breathing_Icon_Bee,animal-breathing,Icon,True
Breathing_Icon_Bunny,animal-breathing,Icon,True
Breathing_Icon_Cat,animal-breathing,Icon,True
Breathing_Icon_Dragon,animal-breathing,Icon,True
Breathing_Icon_Lion,animal-breathing,Icon,True
Breathing_Icon_Snake,animal-breathing,Icon,True
Breathing_Icon_Whale,animal-breathing,Icon,True
Breathing_Icon_Wolf,animal-breathing,Icon,True
Calm_breaths_Icon,animal-breathing,Icon,True
Energy_breaths_Icon,animal-breathing,Icon,True
SC_animalBreath_bee,animal-breathing,Audio,True
SC_animalBreath_snake,animal-breathing,Audio,True
Shape_breaths_icon,animal-breathing,Icon,True
bee - buzz,animal-breathing,Audio,True
sfxvg_bearbreathout_02count,animal-breathing,Audio,True
sfxvg_bearbreathout_05count,animal-breathing,Audio,True
sfxvg_bearbreathout_06count,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_bee01,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_bee03,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_bee04,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_cat01,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_cat02,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_dragon01,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_dragon02,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_dragon03,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_dragon04,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_lion01,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_lion02,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_lion03,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_lion04,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_snake01,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_snake02,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_wolf01,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_wolf02,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_wolf03,animal-breathing,Audio,True
sfxvg_breatheout_fourcount_wolf04,animal-breathing,Audio,True
sfxvg_roosterbreathout_03count_01,animal-breathing,Audio,True
sfxvg_roosterbreathout_03count_02,animal-breathing,Audio,True
sfxvg_roosterbreathout_03count_03,animal-breathing,Audio,True
sfxvg_whalebreathout_04count_01,animal-breathing,Audio,True
sfxvg_whalebreathout_04count_02,animal-breathing,Audio,True
snake - sssssss,animal-breathing,Audio,True
sniff1,animal-breathing,Audio,True
Anxiety_Ep1_01_Picking_Shells,anxiety,Icon,True
Anxiety_Ep1_02_Looking_For_Shells,anxiety,Icon,True
Anxiety_Ep1_03_Karu_And_Zaygo_Talking,anxiety,Icon,True
Anxiety_Ep1_04_Z_Worried,anxiety,Icon,True
Anxiety_Ep1_05_Karu_Talking,anxiety,Icon,True
Anxiety_Ep1_06_At_Z_Office,anxiety,Icon,True
Anxiety_Ep2_01_Talking_To_Z,anxiety,Icon,True
Anxiety_Ep2_02_Animal_Breathing,anxiety,Icon,True
Anxiety_Ep2_03_Zaygo_Jumping,anxiety,Icon,True
Anxiety_Ep2_04_Z_Practice_Speech,anxiety,Icon,True
Anxiety_Ep2_05_Farfal_In_Suitcase,anxiety,Icon,True
Anxiety_Ep2_06_Z_Fly_To_Boston,anxiety,Icon,True
Anxiety_Ep3_01_Welcome_Home_Party,anxiety,Icon,True
Anxiety_Ep3_02_Z_Talking,anxiety,Icon,True
Anxiety_Ep3_03_Zaygo_Talking,anxiety,Icon,True
Anxiety_Ep3_04_Z_Imagining,anxiety,Icon,True
Anxiety_Ep3_05_Everone_Looking_At_Z,anxiety,Icon,True
Anxiety_Ep3_06_Z_Talking,anxiety,Icon,True
Ant_Mask,attachments,Bangle,True
BG_Dracula,attachments,BangleGroup,True
BG_glassesJoke,attachments,BangleGroup,True
B_Frog_mask,attachments,Bangle,True
B_Pi_rat_Mask,attachments,Bangle,True
B_Pirate_mask,attachments,Bangle,True
B_confetti_3,attachments,HUDParticles,True
B_confetti_4,attachments,HUDParticles,True
B_glassesJoke,attachments,Bangle,True
B_glassesProfessor,attachments,Bangle,True
B_gogglesPilot,attachments,Bangle,True
B_mustacheHandlebar_black,attachments,Bangle,True
B_noseGlasses,attachments,Bangle,True
B_starGlasses,attachments,Bangle,True
B_vampKid_teeth,attachments,Bangle,True
BanBearMask,attachments,Bangle,True
BanCatMask,attachments,Bangle,True
BanDragonMask,attachments,Bangle,True
BanLionMask,attachments,Bangle,True
BanPigeonMask,attachments,Bangle,True
Bee_mask,attachments,Bangle,True
Beetle_Mask,attachments,Bangle,True
Binoculars_mask,attachments,Bangle,True
Black_Screen,attachments,Bangle,True
Bunny_mask,attachments,Bangle,True
Butterfly_Mask,attachments,Bangle,True
Carnival_of_Venice_mask,attachments,Bangle,True
ChangeUserPrefab,attachments,HUDAnimator,True
Chinchilla_mask,attachments,Bangle,True
Day_of_the_Dead_mask,attachments,Bangle,True
Dinosaur_Mask,attachments,Bangle,True
Dog_Mask,attachments,Bangle,True
Dracula_Mask,attachments,Bangle,True
Fairy_Mask,attachments,Bangle,True
Flamingo_Mask,attachments,Bangle,True
Fox_Mask,attachments,Bangle,True
Frankenstein_Mask,attachments,Bangle,True
Giraffe_Mask,attachments,Bangle,True
Glasses_1Front,attachments,Bangle,True
Grasshopper_Mask,attachments,Bangle,True
Hippo_mask,attachments,Bangle,True
IcnDictionaryPrefab,attachments,HUDAnimator,True
Kookabura_Mask,attachments,Bangle,True
Lunar_New_Year_mask,attachments,Bangle,True
Meerkat_Mask,attachments,Bangle,True
Mummy_Mask,attachments,Bangle,True
PS_sweatDrops,attachments,HUDParticles,True
Parrot_Mask,attachments,Bangle,True
Particle_Confetti_1,attachments,HUDParticles,True
Particle_DM_Fireworks_1,attachments,HUDParticles,True
Particle_DM_Icon_Appear_1,attachments,HUDParticles,True
Particle_DM_Icon_Disappear_1,attachments,HUDParticles,True
Particle_DM_Sparkle_1,attachments,HUDParticles,True
Particle_Sparks_Fizzes_1,attachments,HUDParticles,True
Raccoon_Mask,attachments,Bangle,True
Rhino_Mask,attachments,Bangle,True
Rooster_mask,attachments,Bangle,True
Saber_Toothed_Tiger_Mask,attachments,Bangle,True
ScavengerHuntStarsPrefab,attachments,HUDAnimator,True
Scavenger_Hunt_mask,attachments,Bangle,True
Ski_Gggles,attachments,Bangle,True
Snail_Mask,attachments,Bangle,True
Snake_mask,attachments,Bangle,True
Spcase_Helmet,attachments,Bangle,True
Sunglasses,attachments,Bangle,True
Super_Hero_mask,attachments,Bangle,True
Tazmanian_Devil_Mask,attachments,Bangle,True
Teddy_Bear_Mask,attachments,Bangle,True
Tutor_Time_Mask,attachments,Bangle,True
Winter_mask,attachments,Bangle,True
Wooly_Mammoth_Mask,attachments,Bangle,True
Zebra_Mask,attachments,Bangle,True
badgePrefab,attachments,HUDAnimator,True
bangle_appearPuff,attachments,HUDParticles,True
book,attachments,Bangle,True
dailyMissionPrefab,attachments,HUDAnimator,True
emberPrefab,attachments,HUDAnimator,True
fireFliesPrefab,attachments,HUDAnimator,True
fireworksPrefab,attachments,HUDAnimator,True
flowerPrefab,attachments,HUDAnimator,True
flower_animation,attachments,HUDParticles,True
leavesPrefab,attachments,HUDAnimator,True
politeness_particle,attachments,HUDParticles,True
rainingPrefab,attachments,HUDAnimator,True
sleepTimePrefab,attachments,HUDAnimator,True
snowPrefab,attachments,HUDAnimator,True
Bedtime_Beanstalk_icon,bed-time,Icon,True
Bedtime_Bottle_icon,bed-time,Icon,True
Bedtime_Emperor_icon,bed-time,Icon,True
Bedtime_Flower_Pot_icon,bed-time,Icon,True
Bedtime_Shoemaker_icon,bed-time,Icon,True
Bedtime_Turtle_icon,bed-time,Icon,True
AUTO_GESTURE_APPROXIMATION,behaviours,BehaviourTree,True
AUTO_GESTURE_ASIDE,behaviours,BehaviourTree,True
AUTO_GESTURE_CAUSAL,behaviours,BehaviourTree,True
AUTO_GESTURE_CERTAINTY,behaviours,BehaviourTree,True
AUTO_GESTURE_COMPARATIVE,behaviours,BehaviourTree,True
AUTO_GESTURE_COMPARATIVE_BIGGER,behaviours,BehaviourTree,True
AUTO_GESTURE_COMPARATIVE_LONGER,behaviours,BehaviourTree,True
AUTO_GESTURE_COMPARATIVE_SHORTER,behaviours,BehaviourTree,True
AUTO_GESTURE_COMPARATIVE_SMALLER,behaviours,BehaviourTree,True
AUTO_GESTURE_COMPARATIVE_TALLER,behaviours,BehaviourTree,True
AUTO_GESTURE_CONTRAST,behaviours,BehaviourTree,True
AUTO_GESTURE_CYCLE,behaviours,BehaviourTree,True
AUTO_GESTURE_DAMPEN,behaviours,BehaviourTree,True
AUTO_GESTURE_DISCARD,behaviours,BehaviourTree,True
AUTO_GESTURE_EMPHASIS,behaviours,BehaviourTree,True
AUTO_GESTURE_EMPHASIS_STRONG,behaviours,BehaviourTree,True
AUTO_GESTURE_EMPTY,behaviours,BehaviourTree,True
AUTO_GESTURE_EMPTY_LARGE,behaviours,BehaviourTree,True
AUTO_GESTURE_EMPTY_MEDIUM,behaviours,BehaviourTree,True
AUTO_GESTURE_FRAME,behaviours,BehaviourTree,True
AUTO_GESTURE_HERE,behaviours,BehaviourTree,True
AUTO_GESTURE_INCLUSIVITY,behaviours,BehaviourTree,True
AUTO_GESTURE_INDIFFERENCE,behaviours,BehaviourTree,True
AUTO_GESTURE_LEFT,behaviours,BehaviourTree,True
AUTO_GESTURE_ME,behaviours,BehaviourTree,True
AUTO_GESTURE_MOVEMENT,behaviours,BehaviourTree,True
AUTO_GESTURE_NEGATION,behaviours,BehaviourTree,True
AUTO_GESTURE_NEGATIONSTRONG,behaviours,BehaviourTree,True
AUTO_GESTURE_NONE,behaviours,BehaviourTree,True
AUTO_GESTURE_OBLIGATION,behaviours,BehaviourTree,True
AUTO_GESTURE_OPEN,behaviours,BehaviourTree,True
AUTO_GESTURE_QUESTION_WHILE,behaviours,BehaviourTree,True
AUTO_GESTURE_RHYTHM,behaviours,BehaviourTree,True
AUTO_GESTURE_RIGHT,behaviours,BehaviourTree,True
AUTO_GESTURE_STOP,behaviours,BehaviourTree,True
AUTO_GESTURE_SURROUND,behaviours,BehaviourTree,True
AUTO_GESTURE_TALK,behaviours,BehaviourTree,True
AUTO_GESTURE_UNCERTAINTY,behaviours,BehaviourTree,True
AUTO_GESTURE_US,behaviours,BehaviourTree,True
AUTO_GESTURE_WE,behaviours,BehaviourTree,True
AUTO_GESTURE_YOU,behaviours,BehaviourTree,True
Blink,behaviours,BehaviourTree,True
Gesture_Celebrate,behaviours,BehaviourTree,True
Gesture_Discard,behaviours,BehaviourTree,True
Gesture_Higher,behaviours,BehaviourTree,True
Gesture_Large,behaviours,BehaviourTree,True
Gesture_Laugh,behaviours,BehaviourTree,True
Gesture_Longer,behaviours,BehaviourTree,True
Gesture_Lower,behaviours,BehaviourTree,True
Gesture_Medium,behaviours,BehaviourTree,True
Gesture_Negation,behaviours,BehaviourTree,True
Gesture_Nod,behaviours,BehaviourTree,True
Gesture_None,behaviours,BehaviourTree,True
Gesture_Point,behaviours,BehaviourTree,True
Gesture_Point_Left,behaviours,BehaviourTree,True
Gesture_Point_Right,behaviours,BehaviourTree,True
Gesture_Question,behaviours,BehaviourTree,True
Gesture_Self,behaviours,BehaviourTree,True
Gesture_Shorter,behaviours,BehaviourTree,True
Gesture_Small,behaviours,BehaviourTree,True
Gesture_Talk,behaviours,BehaviourTree,True
Gesture_Think,behaviours,BehaviourTree,True
Gesture_Think_Subtle,behaviours,BehaviourTree,True
Gesture_We,behaviours,BehaviourTree,True
Listening_Active,behaviours,BehaviourTree,True
StartSleepIdlePose,behaviours,BehaviourTree,True
StartSystemSuspend,behaviours,BehaviourTree,True
StartWifiRecover,behaviours,BehaviourTree,True
bht_180_turn_left,behaviours,BehaviourTree,True
bht_180_turn_right,behaviours,BehaviourTree,True
bht_360_look_around,behaviours,BehaviourTree,True
bht_360_spin_wonder,behaviours,BehaviourTree,True
bht_accept_hug,behaviours,BehaviourTree,True
bht_active_thinking,behaviours,BehaviourTree,True
bht_active_thinking_subtle,behaviours,BehaviourTree,True
bht_afraid_to_neutral,behaviours,BehaviourTree,True
bht_ahh_long,behaviours,BehaviourTree,True
bht_ahh_negative,behaviours,BehaviourTree,True
bht_ahh_positive,behaviours,BehaviourTree,True
bht_ahha,behaviours,BehaviourTree,True
bht_alert,behaviours,BehaviourTree,True
bht_alt_arm_flap,behaviours,BehaviourTree,True
bht_angry_to_neutral,behaviours,BehaviourTree,True
bht_anxious_to_neutral,behaviours,BehaviourTree,True
bht_argh,behaviours,BehaviourTree,True
bht_arms_in,behaviours,BehaviourTree,True
bht_arms_out,behaviours,BehaviourTree,True
bht_arms_up_then_open,behaviours,BehaviourTree,True
bht_autogesture_talking,behaviours,BehaviourTree,True
bht_autogesture_talking_both_arms,behaviours,BehaviourTree,True
bht_autogesture_talking_left_arm,behaviours,BehaviourTree,True
bht_autogesture_talking_right_arm,behaviours,BehaviourTree,True
bht_autogesture_talking_self,behaviours,BehaviourTree,True
bht_autogesture_talking_torso_head_01,behaviours,BehaviourTree,True
bht_autogesture_talking_torso_head_02,behaviours,BehaviourTree,True
bht_autogesture_talking_torso_head_03,behaviours,BehaviourTree,True
bht_back_and_forth_arm_wave,behaviours,BehaviourTree,True
bht_bangle_on_off,behaviours,BehaviourTree,True
bht_base_left,behaviours,BehaviourTree,True
bht_base_right,behaviours,BehaviourTree,True
bht_battery_check,behaviours,BehaviourTree,True
bht_bear_breath,behaviours,BehaviourTree,True
bht_beckon_user,behaviours,BehaviourTree,True
bht_bee_breath,behaviours,BehaviourTree,True
bht_begin_hug,behaviours,BehaviourTree,True
bht_binoculars_cycle,behaviours,BehaviourTree,True
bht_binoculars_off,behaviours,BehaviourTree,True
bht_binoculars_on,behaviours,BehaviourTree,True
bht_bow,behaviours,BehaviourTree,True
bht_breathin,behaviours,BehaviourTree,True
bht_breathin_sharp,behaviours,BehaviourTree,True
bht_bunny_breath,behaviours,BehaviourTree,True
bht_calibration,behaviours,BehaviourTree,True
bht_carry,behaviours,BehaviourTree,True
bht_cat_breath,behaviours,BehaviourTree,True
bht_celebration_dance_01,behaviours,BehaviourTree,True
bht_celebration_dance_02,behaviours,BehaviourTree,True
bht_celebration_dance_03,behaviours,BehaviourTree,True
bht_celebration_dance_04,behaviours,BehaviourTree,True
bht_circle_motion,behaviours,BehaviourTree,True
bht_clearthroat,behaviours,BehaviourTree,True
bht_close_eyes,behaviours,BehaviourTree,True
bht_commercial_line,behaviours,BehaviourTree,True
bht_cough,behaviours,BehaviourTree,True
bht_dance_cruncher_long_120bpm,behaviours,BehaviourTree,True
bht_dance_cruncher_medium_120bpm,behaviours,BehaviourTree,True
bht_dance_cruncher_short_120bpm,behaviours,BehaviourTree,True
bht_dance_defaultgenre,behaviours,BehaviourTree,True
bht_dance_farfel_long_130bpm,behaviours,BehaviourTree,True
bht_dance_farfel_medium_130bpm,behaviours,BehaviourTree,True
bht_dance_farfel_short_130bpm,behaviours,BehaviourTree,True
bht_dance_freezedance,behaviours,BehaviourTree,True
bht_dance_happy_birthday_long_120bpm,behaviours,BehaviourTree,True
bht_dance_karu_long_135bpm,behaviours,BehaviourTree,True
bht_dance_karu_medium_135bpm,behaviours,BehaviourTree,True
bht_dance_karu_short_135bpm,behaviours,BehaviourTree,True
bht_dance_professor_long_120bpm,behaviours,BehaviourTree,True
bht_dance_song_01,behaviours,BehaviourTree,True
bht_dance_song_final_01,behaviours,BehaviourTree,True
bht_dance_system,behaviours,BehaviourTree,True
bht_dance_zaygo_long_140bpm,behaviours,BehaviourTree,True
bht_dance_zaygo_medium_140bpm,behaviours,BehaviourTree,True
bht_dance_zaygo_short_140bpm,behaviours,BehaviourTree,True
bht_debug_gesture,behaviours,BehaviourTree,True
bht_demo_wake_up,behaviours,BehaviourTree,True
bht_deny_hug,behaviours,BehaviourTree,True
bht_dialogue,behaviours,BehaviourTree,True
bht_dragon_breath,behaviours,BehaviourTree,True
bht_drawing,behaviours,BehaviourTree,True
bht_ear_point,behaviours,BehaviourTree,True
bht_embarrassed_to_neutral,behaviours,BehaviourTree,True
bht_end_hug,behaviours,BehaviourTree,True
bht_excited_to_neutral,behaviours,BehaviourTree,True
bht_eyes_closed_breathe_in,behaviours,BehaviourTree,True
bht_eyes_closed_breathe_out,behaviours,BehaviourTree,True
bht_eyeseme_afraid,behaviours,BehaviourTree,True
bht_eyeseme_angry,behaviours,BehaviourTree,True
bht_eyeseme_concerned,behaviours,BehaviourTree,True
bht_eyeseme_confused,behaviours,BehaviourTree,True
bht_eyeseme_curious,behaviours,BehaviourTree,True
bht_eyeseme_embarrassed,behaviours,BehaviourTree,True
bht_eyeseme_happy,behaviours,BehaviourTree,True
bht_eyeseme_neutral,behaviours,BehaviourTree,True
bht_eyeseme_sad,behaviours,BehaviourTree,True
bht_eyeseme_shy,behaviours,BehaviourTree,True
bht_eyeseme_surprised,behaviours,BehaviourTree,True
bht_eyesemes,behaviours,BehaviourTree,True
bht_forgazetest,behaviours,BehaviourTree,True
bht_front_me_down,behaviours,BehaviourTree,True
bht_front_me_up,behaviours,BehaviourTree,True
bht_ftue_pledge,behaviours,BehaviourTree,True
bht_gasp_long,behaviours,BehaviourTree,True
bht_gasp_short,behaviours,BehaviourTree,True
bht_gazecontrol,behaviours,BehaviourTree,True
bht_gazecontroldefault,behaviours,BehaviourTree,True
bht_gazecontrolexamples,behaviours,BehaviourTree,True
bht_gazecontrollistening,behaviours,BehaviourTree,True
bht_gazecontroltalking,behaviours,BehaviourTree,True
bht_gesture_celebrate,behaviours,BehaviourTree,True
bht_gesture_celebrate_internal,behaviours,BehaviourTree,True
bht_gesture_discard,behaviours,BehaviourTree,True
bht_gesture_greet,behaviours,BehaviourTree,True
bht_gesture_large,behaviours,BehaviourTree,True
bht_gesture_longer,behaviours,BehaviourTree,True
bht_gesture_medium,behaviours,BehaviourTree,True
bht_gesture_negation,behaviours,BehaviourTree,True
bht_gesture_point_advanced,behaviours,BehaviourTree,True
bht_gesture_point_leftarm_simple,behaviours,BehaviourTree,True
bht_gesture_point_rightarm_simple,behaviours,BehaviourTree,True
bht_gesture_point_simple,behaviours,BehaviourTree,True
bht_gesture_shorter,behaviours,BehaviourTree,True
bht_gesture_small,behaviours,BehaviourTree,True
bht_gesture_we,behaviours,BehaviourTree,True
bht_giggle,behaviours,BehaviourTree,True
bht_hah,behaviours,BehaviourTree,True
bht_haha_sarcastic,behaviours,BehaviourTree,True
bht_hand_holding,behaviours,BehaviourTree,True
bht_hand_holding_left,behaviours,BehaviourTree,True
bht_hand_holding_long,behaviours,BehaviourTree,True
bht_hand_holding_right,behaviours,BehaviourTree,True
bht_hand_test_arm,behaviours,BehaviourTree,True
bht_hand_test_hand,behaviours,BehaviourTree,True
bht_happy_birthday,behaviours,BehaviourTree,True
bht_happy_laughs,behaviours,BehaviourTree,True
bht_happy_to_neutral,behaviours,BehaviourTree,True
bht_head,behaviours,BehaviourTree,True
bht_head_nods,behaviours,BehaviourTree,True
bht_help,behaviours,BehaviourTree,True
bht_higher,behaviours,BehaviourTree,True
bht_hmm_question,behaviours,BehaviourTree,True
bht_hmm_thinking,behaviours,BehaviourTree,True
bht_hmm_yes,behaviours,BehaviourTree,True
bht_huh_confused,behaviours,BehaviourTree,True
bht_huh_placeholder,behaviours,BehaviourTree,True
bht_huh_question,behaviours,BehaviourTree,True
bht_ice_cream,behaviours,BehaviourTree,True
bht_idle_active_listening,behaviours,BehaviourTree,True
bht_idle_active_listening_base,behaviours,BehaviourTree,True
bht_idle_curious,behaviours,BehaviourTree,True
bht_idle_disengagedstate,behaviours,BehaviourTree,True
bht_idle_earmuffs,behaviours,BehaviourTree,True
bht_idle_examination,behaviours,BehaviourTree,True
bht_idle_far_unfocused,behaviours,BehaviourTree,True
bht_idle_far_unfocused_down,behaviours,BehaviourTree,True
bht_idle_far_unfocused_up,behaviours,BehaviourTree,True
bht_idle_interested,behaviours,BehaviourTree,True
bht_idle_listening,behaviours,BehaviourTree,True
bht_idle_mid_unfocused,behaviours,BehaviourTree,True
bht_idle_near_focused,behaviours,BehaviourTree,True
bht_idle_near_unfocused,behaviours,BehaviourTree,True
bht_idle_seekingstate,behaviours,BehaviourTree,True
bht_idle_shy_bow_left,behaviours,BehaviourTree,True
bht_idle_shy_bow_left_return,behaviours,BehaviourTree,True
bht_idle_shy_bow_right,behaviours,BehaviourTree,True
bht_idle_shy_bow_right_return,behaviours,BehaviourTree,True
bht_idle_shy_flat_left,behaviours,BehaviourTree,True
bht_idle_shy_flat_left_return,behaviours,BehaviourTree,True
bht_idle_shy_flat_right,behaviours,BehaviourTree,True
bht_idle_shy_flat_right_return,behaviours,BehaviourTree,True
bht_idle_shy_turn_left,behaviours,BehaviourTree,True
bht_idle_shy_turn_left_return,behaviours,BehaviourTree,True
bht_idle_shy_turn_right,behaviours,BehaviourTree,True
bht_idle_shy_turn_right_return,behaviours,BehaviourTree,True
bht_idle_small_arm_test,behaviours,BehaviourTree,True
bht_idle_soft,behaviours,BehaviourTree,True
bht_idle_timing_test,behaviours,BehaviourTree,True
bht_idle_vocal_gesture_test,behaviours,BehaviourTree,True
bht_idles_short,behaviours,BehaviourTree,True
bht_idles_soft,behaviours,BehaviourTree,True
bht_ikes_daam_tree,behaviours,BehaviourTree,True
bht_ikes_daam_tree2,behaviours,BehaviourTree,True
bht_ikes_daam_tree3,behaviours,BehaviourTree,True
bht_interupted,behaviours,BehaviourTree,True
bht_intro_eyes,behaviours,BehaviourTree,True
bht_laugh,behaviours,BehaviourTree,True
bht_laugh_belly,behaviours,BehaviourTree,True
bht_laugh_big,behaviours,BehaviourTree,True
bht_laugh_chuckle,behaviours,BehaviourTree,True
bht_laugh_evil,behaviours,BehaviourTree,True
bht_laugh_mischief,behaviours,BehaviourTree,True
bht_laugh_nervous,behaviours,BehaviourTree,True
bht_laugh_short,behaviours,BehaviourTree,True
bht_left_arm,behaviours,BehaviourTree,True
bht_left_arm_off,behaviours,BehaviourTree,True
bht_left_arm_on,behaviours,BehaviourTree,True
bht_left_eye_close,behaviours,BehaviourTree,True
bht_left_eye_open,behaviours,BehaviourTree,True
bht_lightbar,behaviours,BehaviourTree,True
bht_lightbar_exit,behaviours,BehaviourTree,True
bht_lion_breath,behaviours,BehaviourTree,True
bht_lion_face_exit,behaviours,BehaviourTree,True
bht_lion_face_intro,behaviours,BehaviourTree,True
bht_loud_pose_exit,behaviours,BehaviourTree,True
bht_loud_pose_intro,behaviours,BehaviourTree,True
bht_lower,behaviours,BehaviourTree,True
bht_markuptest,behaviours,BehaviourTree,True
bht_markuptestsimple,behaviours,BehaviourTree,True
bht_me_left_arm,behaviours,BehaviourTree,True
bht_me_right_arm,behaviours,BehaviourTree,True
bht_meditation,behaviours,BehaviourTree,True
bht_mindreader_exit,behaviours,BehaviourTree,True
bht_mindreader_intro,behaviours,BehaviourTree,True
bht_mmm_agree,behaviours,BehaviourTree,True
bht_mmm_long,behaviours,BehaviourTree,True
bht_mouse_face_exit,behaviours,BehaviourTree,True
bht_mouse_face_intro,behaviours,BehaviourTree,True
bht_mouth_breathe_in,behaviours,BehaviourTree,True
bht_mouth_breathe_in_medium,behaviours,BehaviourTree,True
bht_mouth_breathe_out_medium,behaviours,BehaviourTree,True
bht_moxie_intro,behaviours,BehaviourTree,True
bht_neutral_to_afraid,behaviours,BehaviourTree,True
bht_neutral_to_angry,behaviours,BehaviourTree,True
bht_neutral_to_anxious,behaviours,BehaviourTree,True
bht_neutral_to_embarrassed,behaviours,BehaviourTree,True
bht_neutral_to_excited,behaviours,BehaviourTree,True
bht_neutral_to_happy,behaviours,BehaviourTree,True
bht_neutral_to_sad,behaviours,BehaviourTree,True
bht_neutral_to_shy,behaviours,BehaviourTree,True
bht_neutral_to_silly,behaviours,BehaviourTree,True
bht_neutral_to_stressed,behaviours,BehaviourTree,True
bht_neutral_to_surprised,behaviours,BehaviourTree,True
bht_nnn_disagree,behaviours,BehaviourTree,True
bht_nose_breathe_in_medium,behaviours,BehaviourTree,True
bht_nose_breathe_out_medium,behaviours,BehaviourTree,True
bht_nose_point,behaviours,BehaviourTree,True
bht_offer_left_stump_exit,behaviours,BehaviourTree,True
bht_offer_left_stump_intro,behaviours,BehaviourTree,True
bht_offer_left_stump_pose,behaviours,BehaviourTree,True
bht_offer_right_stump_exit,behaviours,BehaviourTree,True
bht_offer_right_stump_intro,behaviours,BehaviourTree,True
bht_offer_right_stump_pose,behaviours,BehaviourTree,True
bht_oh_eureka,behaviours,BehaviourTree,True
bht_oh_negative,behaviours,BehaviourTree,True
bht_oh_positive,behaviours,BehaviourTree,True
bht_ooo_long,behaviours,BehaviourTree,True
bht_ooo_wonder,behaviours,BehaviourTree,True
bht_open_eyes,behaviours,BehaviourTree,True
bht_oww,behaviours,BehaviourTree,True
bht_parallel,behaviours,BehaviourTree,True
bht_parallel_animationtesting,behaviours,BehaviourTree,True
bht_photo_pose_celebrate,behaviours,BehaviourTree,True
bht_photo_pose_cool,behaviours,BehaviourTree,True
bht_photo_pose_curious,behaviours,BehaviourTree,True
bht_photo_pose_cute,behaviours,BehaviourTree,True
bht_photo_pose_laughing,behaviours,BehaviourTree,True
bht_photo_pose_sad,behaviours,BehaviourTree,True
bht_photo_pose_shy,behaviours,BehaviourTree,True
bht_photo_pose_silly,behaviours,BehaviourTree,True
bht_photo_pose_sly,behaviours,BehaviourTree,True
bht_photo_pose_smile,behaviours,BehaviourTree,True
bht_photo_pose_surprised,behaviours,BehaviourTree,True
bht_photo_pose_thoughtful,behaviours,BehaviourTree,True
bht_photo_pose_winky,behaviours,BehaviourTree,True
bht_pledge,behaviours,BehaviourTree,True
bht_pledge_listening,behaviours,BehaviourTree,True
bht_point_forward,behaviours,BehaviourTree,True
bht_point_forward_arms,behaviours,BehaviourTree,True
bht_point_left,behaviours,BehaviourTree,True
bht_point_leftarm_angle_high,behaviours,BehaviourTree,True
bht_point_leftarm_angle_low,behaviours,BehaviourTree,True
bht_point_leftarm_angle_middle,behaviours,BehaviourTree,True
bht_point_leftarm_forward_high,behaviours,BehaviourTree,True
bht_point_leftarm_forward_low,behaviours,BehaviourTree,True
bht_point_leftarm_forward_middle,behaviours,BehaviourTree,True
bht_point_leftarm_side_high,behaviours,BehaviourTree,True
bht_point_leftarm_side_low,behaviours,BehaviourTree,True
bht_point_leftarm_side_middle,behaviours,BehaviourTree,True
bht_point_right,behaviours,BehaviourTree,True
bht_point_rightarm_angle_high,behaviours,BehaviourTree,True
bht_point_rightarm_angle_low,behaviours,BehaviourTree,True
bht_point_rightarm_angle_middle,behaviours,BehaviourTree,True
bht_point_rightarm_forward_high,behaviours,BehaviourTree,True
bht_point_rightarm_forward_low,behaviours,BehaviourTree,True
bht_point_rightarm_forward_middle,behaviours,BehaviourTree,True
bht_point_rightarm_side_high,behaviours,BehaviourTree,True
bht_point_rightarm_side_low,behaviours,BehaviourTree,True
bht_point_rightarm_side_middle,behaviours,BehaviourTree,True
bht_question_poses,behaviours,BehaviourTree,True
bht_question_poses_arms,behaviours,BehaviourTree,True
bht_question_poses_body_head,behaviours,BehaviourTree,True
bht_quick_find_user,behaviours,BehaviourTree,True
bht_quiet_pose_exit,behaviours,BehaviourTree,True
bht_quiet_pose_intro,behaviours,BehaviourTree,True
bht_quit,behaviours,BehaviourTree,True
